Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
21;29348;"Energy";journal;"03605442";1,990;Q1;146;1951;4290;86123;23896;4231;5,26;44,14;United Kingdom;"Elsevier Ltd.";"Building and Construction (Q1); Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1); Pollution (Q1)"
22;5800207505;"IEEE Industrial Electronics Magazine";journal;"19324529";1,978;Q1;49;31;102;781;721;81;7,21;25,19;United States;"Institute of Electrical and Electoronics Engineers";"Electrical and Electronic Engineering (Q1); Industrial and Manufacturing Engineering (Q1)"
23;25563;"Systems and Control Letters";journal;"01676911";1,939;Q1;117;138;451;3424;1513;445;3,05;24,81;Netherlands;"Elsevier BV";"Computer Science (miscellaneous) (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1)"
24;16733;"IEEE Transactions on Medical Imaging";journal;"02780062";1,895;Q1;187;251;645;9162;4207;629;7,22;36,50;United States;"Institute of Electrical and Electronics Engineers";"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Radiological and Ultrasound Technology (Q1); Software (Q1)"
25;18935;"IEEE Wireless Communications";journal;"15361284";1,878;Q1;129;111;325;1436;2995;299;9,10;12,94;United States;"Institute of Electrical and Electronics Engineers";"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)"
26;17342;"IEEE Transactions on Control Systems Technology";journal;"10636536";1,832;Q1;127;405;667;6730;3874;659;5,81;16,62;United States;"Institute of Electrical and Electronics Engineers";"Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)"
27;95101;"IEEE Transactions on Robotics";journal;"15523098";1,822;Q1;121;120;377;3765;2269;374;5,86;31,38;United States;"Institute of Electrical and Electronics Engineers";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)"
28;17370;"IEEE Transactions on Power Delivery";journal;"08858977";1,814;Q1;152;371;911;7090;4019;903;4,01;19,11;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)"
29;9500153997;"Polymer Reviews";journal;"15583724, 15583716";1,787;Q1;76;26;60;3332;419;58;6,74;128,15;United States;"Marcel Dekker Inc.";"Biomedical Engineering (Q1); Chemistry (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Polymers and Plastics (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
30;27540;"Progress in Photovoltaics: Research and Applications";journal;"10627995";1,772;Q1;108;105;479;3900;2644;477;5,92;37,14;United States;"John Wiley & Sons Inc.";"Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
31;12996;"IEEE Signal Processing Magazine";journal;"10535888";1,747;Q1;146;99;292;3026;2310;238;7,16;30,57;United States;"Institute of Electrical and Electronics Engineers";"Applied Mathematics (Q1); Electrical and Electronic Engineering (Q1); Music (Q1); Signal Processing (Q1)"
32;21100338322;"IEEE Geoscience and Remote Sensing Magazine";journal;"21686831";1,742;Q1;13;36;91;1461;375;91;4,44;40,58;United States;"IEEE Geosciene and Remote Sensing Society";"Computer Science (miscellaneous) (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Instrumentation (Q1)"
33;18902;"IEEE Journal on Selected Areas in Communications";journal;"07338716";1,741;Q1;207;214;721;8456;6677;695;7,76;39,51;United States;"Institute of Electrical and Electronics Engineers";"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1)"
34;17278;"IEEE Journal of Solid-State Circuits";journal;"00189200";1,665;Q1;188;284;803;7809;3909;767;4,55;27,50;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1)"
35;21100338359;"IEEE Journal of Emerging and Selected Topics in Power Electronics";journal;"21686777, 21686785";1,657;Q1;35;213;335;5569;2210;324;6,60;26,15;United States;"Institute of Electrical and Electronics Engineers Inc.";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)"
36;144912;"IEEE Transactions on Industrial Informatics";journal;"15513203";1,599;Q1;85;472;624;10664;5170;618;6,13;22,59;United States;"Institute of Electrical and Electronics Engineers";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Information Systems (Q1)"
37;21100203115;"Nano-Micro Letters";journal;"21505551";1,554;Q1;27;46;133;2709;782;131;7,40;58,89;United States;"Open Access Science Online";"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Nanoscience and Nanotechnology (Q1); Surfaces, Coatings and Films (Q1)"
38;19113;"IEEE/ASME Transactions on Mechatronics";journal;"10834435";1,537;Q1;104;283;790;9338;3941;785;4,71;33,00;United States;"Institute of Electrical and Electronics Engineers";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)"
39;27476;"Critical Reviews in Solid State and Materials Sciences";journal;"10408436";1,510;Q1;46;16;49;3043;282;49;5,38;190,19;United Kingdom;"Taylor & Francis";"Chemical Engineering (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Physical and Theoretical Chemistry (Q1)"
40;17259;"IEEE Geoscience and Remote Sensing Letters";journal;"1545598X";1,486;Q1;80;531;1324;9201;4666;1321;3,46;17,33;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Geotechnical Engineering and Engineering Geology (Q1)"
41;21576;"Nonlinear Dynamics";journal;"0924090X";1,468;Q1;85;820;1976;30953;8511;1950;4,29;37,75;Netherlands;"Kluwer Academic Publishers";"Aerospace Engineering (Q1); Applied Mathematics (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Ocean Engineering (Q1)"
42;17387;"IEEE Transactions on Reliability";journal;"00189529";1,444;Q1;82;96;342;2872;1174;338;2,94;29,92;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Safety, Risk, Reliability and Quality (Q1)"
43;5100155079;"IET Control Theory and Applications";journal;"17518644";1,416;Q1;91;379;833;13101;3305;824;3,81;34,57;United Kingdom;"Institution of Engineering and Technology";"Computer Science Applications (Q1); Control and Optimization (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1)"
44;25236;"Sensors and Actuators, B: Chemical";journal;"09254005";1,406;Q1;159;2217;4629;95443;26095;4615;5,75;43,05;Netherlands;"Elsevier BV";"Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Instrumentation (Q1); Materials Chemistry (Q1); Metals and Alloys (Q1); Surfaces, Coatings and Films (Q1)"
45;17915;"Proceedings of the IEEE";journal;"00189219";1,380;Q1;241;158;466;11131;4155;433;8,66;70,45;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1)"
46;28824;"IEEE Transactions on Energy Conversion";journal;"08858969";1,377;Q1;146;202;462;4392;2475;447;4,73;21,74;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)"
47;26005;"IEEE Electron Device Letters";journal;"07413106";1,361;Q1;130;429;1203;8375;4409;1191;3,66;19,52;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1)"
48;5900153311;"IEEE Journal on Selected Topics in Signal Processing";journal;"19324553";1,331;Q1;83;108;357;4982;2465;334;5,11;46,13;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Signal Processing (Q1)"
49;17337;"IEEE Transactions on Antennas and Propagation";journal;"0018926X";1,309;Q1;162;870;2214;23518;10131;2175;4,50;27,03;United States;"Institute of Electrical and Electronics Engineers";"Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1)"
50;17340;"IEEE Transactions on Automation Science and Engineering";journal;"15455955";1,306;Q1;62;189;407;5693;1884;380;4,48;30,12;United States;"Institute of Electrical and Electronics Engineers";"Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)"
51;21100262320;"IEEE Transactions on Systems, Man, and Cybernetics: Systems";journal;"21682216";1,303;Q1;105;567;409;13524;2318;402;6,02;23,85;United States;"IEEE Advancing Technology for Humanity";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)"
52;20896;"Telematics and Informatics";journal;"07365853";1,299;Q1;42;226;241;10371;1018;233;3,79;45,89;Netherlands;"Elsevier BV";"Communication (Q1); Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Law (Q1)"
53;17985;"International Journal of Electrical Power and Energy Systems";journal;"01420615";1,276;Q1;88;234;1608;7939;7356;1596;4,57;33,93;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)"
54;17391;"IEEE Transactions on Signal Processing";journal;"1053587X";1,247;Q1;220;510;1492;19378;8305;1484;4,91;38,00;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Signal Processing (Q1)"
55;18933;"IEEE Transactions on Wireless Communications";journal;"15361276";1,246;Q1;177;599;1725;21870;11013;1720;6,11;36,51;United States;"Institute of Electrical and Electronics Engineers";"Applied Mathematics (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)"
56;19900193578;"IEEE Journal of Photovoltaics";journal;"21563381";1,214;Q1;43;296;743;7624;2733;736;3,05;25,76;United States;"IEEE Electron Devices Society";"Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1)"
57;12998;"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control";journal;"08853010";1,183;Q1;116;179;623;6609;1821;611;2,79;36,92;United States;"Institute of Electrical and Electronics Engineers";"Acoustics and Ultrasonics (Q1); Electrical and Electronic Engineering (Q1); Instrumentation (Q1)"
58;58130;"Journal of the Energy Institute";journal;"17439671";1,179;Q1;29;160;201;3367;637;175;3,86;21,04;United Kingdom;"Elsevier Limited";"Condensed Matter Physics (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
59;29859;"Smart Materials and Structures";journal;"09641726, 1361665X";1,152;Q1;124;476;1465;18000;4874;1447;3,01;37,82;United Kingdom;"Institute of Physics Publishing";"Atomic and Molecular Physics, and Optics (Q1); Civil and Structural Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1); Signal Processing (Q1)"
60;21100331504;"International Review of Aerospace Engineering";journal;"19737440, 19737459";1,148;Q1;10;37;80;1079;174;79;2,45;29,16;Italy;"Praise Worthy Prize";"Aerospace Engineering (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Fluid Flow and Transfer Processes (Q1)"
61;19700190315;"Beilstein Journal of Nanotechnology";journal;"21904286";1,119;Q1;39;280;713;12914;2358;670;3,19;46,12;Germany;"Beilstein-Institut Zur Forderung der Chemischen Wissenschaften";"Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q2)"
62;26023;"IEEE Journal on Selected Topics in Quantum Electronics";journal;"1077260X";1,116;Q1;139;94;579;3542;1906;553;2,82;37,68;United States;"Institute of Electrical and Electronics Engineers";"Atomic and Molecular Physics, and Optics (Q1); Electrical and Electronic Engineering (Q1)"
63;29805;"ISA Transactions";journal;"00190578";1,115;Q1;54;285;676;9342;2910;662;3,76;32,78;United States;"Instrument Society of America";"Applied Mathematics (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Instrumentation (Q1)"
64;29586;"Journal of Guidance, Control, and Dynamics";journal;"07315090, 15333884";1,104;Q1;117;294;736;9292;2012;722;2,54;31,61;United States;"American Institute of Aeronautics and Astronautics";"Aerospace Engineering (Q1); Applied Mathematics (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Space and Planetary Science (Q2)"
65;19800188022;"IEEE Transactions on Terahertz Science and Technology";journal;"2156342X";1,086;Q1;39;98;362;2686;1057;324;3,36;27,41;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Radiation (Q1)"
66;18663;"Organic Electronics: physics, materials, applications";journal;"15661199";1,085;Q1;87;539;1462;22373;5017;1454;3,67;41,51;Netherlands;"Elsevier BV";"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Biomaterials (Q2)"
67;110040;"Nanotechnology";journal;"09574484, 13616528";1,079;Q1;171;1137;2892;51273;8666;2845;2,98;45,09;United Kingdom;"Institute of Physics Publishing";"Chemistry (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Bioengineering (Q2); Nanoscience and Nanotechnology (Q2)"
68;18174;"Control Engineering Practice";journal;"09670661";1,069;Q1;99;193;509;6800;1724;499;3,11;35,23;United Kingdom;"Elsevier Ltd.";"Applied Mathematics (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)"
69;16044;"Electric Power Systems Research";journal;"03787796";1,048;Q1;95;439;1041;13991;3390;1023;3,33;31,87;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)"
70;18894;"IEEE Antennas and Wireless Propagation Letters";journal;"15361225";1,047;Q1;89;803;1424;11335;5496;1410;3,80;14,12;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1)"
71;12278;"Superconductor Science and Technology";journal;"09532048, 13616668";1,036;Q1;89;314;796;12353;2083;773;2,64;39,34;United Kingdom;"Institute of Physics Publishing";"Ceramics and Composites (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Chemistry (Q1); Metals and Alloys (Q1)"
72;17361;"IEEE Transactions on Industry Applications";journal;"00939994";1,020;Q1;165;640;1600;15496;6393;1594;3,39;24,21;United States;"Institute of Electrical and Electronics Engineers";"Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Industrial and Manufacturing Engineering (Q1)"
73;12348;"Optics and Lasers in Engineering";journal;"01438166";1,018;Q1;69;219;684;7000;2243;678;3,41;31,96;Netherlands;"Elsevier BV";"Atomic and Molecular Physics, and Optics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Mechanical Engineering (Q1)"
74;21100338355;"IEEE Journal of the Electron Devices Society";journal;"21686734";1,016;Q1;17;102;168;1765;559;160;3,00;17,30;United States;"Institute of Electrical and Electronics Engineers Inc.";"Biotechnology (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1)"
75;18931;"IEEE Transactions on Communications";journal;"00906778";1,004;Q1;182;471;1162;13830;5835;1151;4,95;29,36;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1)"
76;17366;"IEEE Transactions on Microwave Theory and Techniques";journal;"00189480";1,000;Q1;167;533;1294;15665;4504;1238;3,40;29,39;United States;"Institute of Electrical and Electronics Engineers";"Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Radiation (Q1)"
77;21100256982;"IEEE Journal of Biomedical and Health Informatics";journal;"21682194, 21682208";0,991;Q1;94;271;603;7021;2593;579;4,25;25,91;United States;"Institute of Electrical and Electronics Engineers Inc.";"Biotechnology (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Health Information Management (Q1)"
78;21100239264;"IEEE Control Systems";journal;"1066033X";0,983;Q1;99;101;261;1405;536;178;2,79;13,91;United States;"Institute of Electrical and Electronics Engineers Inc.";"Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Modeling and Simulation (Q1)"
79;26027;"IEEE Transactions on Circuits and Systems for Video Technology";journal;"10518215";0,977;Q1;151;350;520;8943;2732;513;4,83;25,55;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Media Technology (Q1)"
80;12116;"IEEE Photonics Technology Letters";journal;"10411135";0,961;Q1;139;592;1996;9936;5573;1988;2,84;16,78;United States;"Institute of Electrical and Electronics Engineers";"Atomic and Molecular Physics, and Optics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1)"
81;16211;"IEEE Transactions on Multimedia";journal;"15209210";0,954;Q1;101;299;590;10564;3068;577;5,11;35,33;United States;"Institute of Electrical and Electronics Engineers";"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Media Technology (Q1); Signal Processing (Q1)"
82;28967;"Discrete Event Dynamic Systems: Theory and Applications";journal;"15737594, 09246703";0,944;Q1;42;32;75;788;98;70;1,29;24,63;Netherlands;"Kluwer Academic Publishers";"Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Modeling and Simulation (Q1)"
83;28027;"IEEE Power and Energy Magazine";journal;"15407977";0,942;Q1;59;73;227;267;433;183;2,36;3,66;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)"
84;19901;"IEEE Transactions on Broadcasting";journal;"00189316";0,941;Q1;68;83;223;2000;1047;223;5,05;24,10;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Media Technology (Q1)"
85;25548;"Signal Processing";journal;"01651684";0,940;Q1;105;361;1120;12918;4362;1104;3,93;35,78;Netherlands;"Elsevier BV";"Computer Vision and Pattern Recognition (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Signal Processing (Q1); Software (Q1)"
86;15361;"IEEE Transactions on Instrumentation and Measurement";journal;"00189456";0,938;Q1;93;401;1021;10210;3486;999;3,29;25,46;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Instrumentation (Q1)"
87;17960;"International Journal of Adaptive Control and Signal Processing";journal;"08906327, 10991115";0,915;Q1;56;122;277;4098;681;272;2,26;33,59;United States;"John Wiley & Sons Inc.";"Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Signal Processing (Q1)"
88;19853;"Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering";journal;"02588013";0,909;Q1;82;655;2412;15905;5430;2412;1,99;24,28;China;"Zhongguo Dianji Gongcheng Xuehui";"Electrical and Electronic Engineering (Q1)"
89;5400152713;"IET Generation, Transmission and Distribution";journal;"17518687, 17518695";0,907;Q1;87;483;956;14131;3092;949;3,04;29,26;United Kingdom;"Institution of Engineering and Technology";"Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)"
90;19700176215;"IEEE Photonics Journal";journal;"19430655, 19430647";0,893;Q1;52;682;1197;17274;3338;1188;2,84;25,33;United States;"Institute of Electrical and Electronics Engineers";"Atomic and Molecular Physics, and Optics (Q1); Electrical and Electronic Engineering (Q1)"
91;24182;"Engineering Applications of Artificial Intelligence";journal;"09521976";0,874;Q1;82;213;605;10291;2239;596;3,58;48,31;United Kingdom;"Elsevier Ltd.";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)"
92;11000153733;"IEEE Transactions on Circuits and Systems I: Regular Papers";journal;"15498328";0,869;Q1;141;320;852;8883;3087;844;3,42;27,76;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1)"
93;4700151725;"IEEE Transactions on Audio, Speech and Language Processing";journal;"15587916, 15587924";0,867;Q1;91;0;247;0;1320;245;4,91;0,00;United States;"Institute of Electrical and Electronics Engineers";"Acoustics and Ultrasonics (Q1); Electrical and Electronic Engineering (Q1)"
94;5700191219;"IEEE Transactions on Biomedical Circuits and Systems";journal;"19324545";0,865;Q1;53;139;284;4809;1129;265;4,12;34,60;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Biomedical Engineering (Q2)"
95;16430;"Meitan Xuebao/Journal of the China Coal Society";journal;"02539993";0,864;Q1;40;424;1479;8943;1812;1479;1,02;21,09;China;"China Coal Society";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Geotechnical Engineering and Engineering Geology (Q1); Mechanical Engineering (Q1); Fuel Technology (Q2)"
96;17371;"IEEE Transactions on Professional Communication";journal;"03611434";0,845;Q1;37;32;74;1352;147;68;1,12;42,25;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Industrial Relations (Q1)"
97;21100368801;"IEEE/ACM Transactions on Audio Speech and Language Processing";journal;"23299290, 23299304";0,841;Q1;20;191;331;9213;1452;328;4,24;48,24;United States;"IEEE Advancing Technology for Humanity";"Acoustics and Ultrasonics (Q1); Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Instrumentation (Q1); Media Technology (Q1); Signal Processing (Q1); Computational Mathematics (Q2); Speech and Hearing (Q2)"
98;21100400826;"Journal of Energy Storage";journal;"2352152X";0,840;Q1;12;156;149;5963;544;148;3,68;38,22;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Renewable Energy, Sustainability and the Environment (Q2)"
